mMed,rinv,yukawa,mDark,obs_lim,expected_m2sigma,expected_m1sigma,expected,expected_p1sigma,expected_p2sigma
500,0p3,2p5,20,0.0072147302236428,0.0018798828823491,0.0027862549759447,0.0042968750931322,0.0073113199323415,0.0119871348142623
600,0p3,2p5,20,0.0043297562764129,0.0022216795478016,0.0032928464934229,0.0050781248137354,0.0079929186031222,0.0131140490993857
700,0p3,2p5,20,0.0043667774668233,0.0032470703590661,0.0045516965910792,0.0074218749068677,0.0116819581016898,0.0174656119197607
800,0p3,2p5,20,0.0028335166108014,0.0025634765625,0.0037994384765625,0.005859375,0.0099699813872575,0.0153651526197791
900,0p3,2p5,20,0.0056566138942977,0.00421142578125,0.0057029724121093,0.0089843748137354,0.0144278146326541,0.0212768800556659
1000,0p3,2p5,20,0.0055120644081199,0.0042846682481467,0.0062416079454123,0.0105468751862645,0.0176096446812152,0.0289079751819372
1500,0p3,2p5,20,0.0226621059894591,0.0145912170410156,0.0218197703361511,0.03662109375,0.063188225030899,0.1057143360376358
2000,0p3,2p5,20,0.0641267613354166,0.0249671936035156,0.0363584756851196,0.05810546875,0.1002586483955383,0.1683305352926254
2500,0p3,2p5,20,0.0322163917611912,0.0383358001708984,0.0576401054859161,0.09716796875,0.1785042583942413,0.2945597767829895
3000,0p3,2p5,20,0.5877688526045391,0.2090301513671875,0.3157649040222168,0.51953125,0.8964303135871887,1.5744796991348269
3500,0p3,2p5,20,1.5391745211918475,0.2990570068359375,0.4426184892654419,0.55078125,1.1084223985671997,1.6704201698303225
4000,0p3,2p5,20,1.0109190707803763,0.5042724609375,0.7526149749755859,1.1953125,1.9290558099746704,3.6214447021484375
500,0p3,3,20,0.014081350841235,0.00048828125,0.0015869140625,0.0019531249999999,0.0034478909801691,0.0050049391575157
600,0p3,3,20,0.0085212428713012,0.0010253905784338,0.0014526366721838,0.0027343749534338,0.0044782687909901,0.0068761226721107
700,0p3,3,20,0.0028631067905878,0.0013183592818677,0.0021423338912427,0.0035156249068677,0.0057577737607061,0.0085324328392744
800,0p3,3,20,0.0023439056740258,0.0004394531133584,0.0023620605934411,0.0035156249068677,0.004860914312303,0.0074113588780164
